,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,statistics.minutesPlayed,statistics.expectedAssists
921,,17.7,65.7,0.0,right-foot,0.0,0.0,,1,65.7,17.7,49.4,0,49.4,81.0,70.1,22.5,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,50.6,19.0,low-centre,,0,1,2180900,shot,True,Nottingham Forest,1,0.0,0,,0,,827243,,Axel Disasi,D,A. Disasi,axel-disasi,3340,22.5,70.1,0,27,1573,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,64,3827,,,90,0.0583647
922,,6.3,49.6,0.0,right-foot,0.0,0.0,,1,49.6,6.3,48.5,0,48.5,81.0,49.8,7.2,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,51.5,19.0,low-centre,,0,1,2180793,shot,True,Nottingham Forest,1,0.0,0,,0,Nicolas Jackson,1085381,,Nicolas Jackson,F,N. Jackson,nicolas-jackson,10022,7.2,49.8,0,35,2049,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,56,3351,,,90,0.118561
923,,,,,head,1.0,0.0,,0,,,57.3,0,57.3,45.8,52.4,7.3,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,42.7,54.2,close-high-right,,0,1,2180734,shot,True,Nottingham Forest,0,0.0,1,,0,,827243,,Axel Disasi,D,A. Disasi,axel-disasi,3340,7.3,52.4,0,37,2193,miss,0,1.0,0.0,0.0,,0.0,0.0,,corner,Chelsea,54,3207,,,90,0.0583647
924,,14.9,48.2,0.0,left-foot,0.0,1.0,,0,48.2,14.9,50.0,0,50.0,81.0,47.7,18.9,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,50.0,19.0,low-centre,,0,1,2180722,shot,True,Nottingham Forest,1,0.0,0,,0,,987650,,Moisés Caicedo,M,M. Caicedo,moises-caicedo,9910,18.9,47.7,0,38,2231,block,0,0.0,0.0,0.0,,1.0,0.0,,regular,Chelsea,53,3169,,,77,0.0397571
925,,,,,right-foot,0.0,0.0,,1,,,52.8,0,52.8,96.8,50.2,14.1,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,47.2,3.2,low-right,regular,1,0,2180660,shot,False,Chelsea,0,1.0,0,,0,,979232,,Anthony Elanga,F,A. Elanga,anthony-elanga,5377,14.1,50.2,0,43,2531,goal,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Nottingham Forest,48,2869,,,45,
926,,,,,right-foot,0.0,0.0,,1,,,62.9,0,62.9,8.3,34.7,32.4,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,37.1,91.7,high-right,,1,0,2180637,shot,False,Chelsea,0,0.0,1,,0,,846252,,Ryan Yates,M,R. Yates,ryan-yates,296,32.4,34.7,0,43,2580,miss,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Nottingham Forest,48,2820,,,90,
927,6.0,11.2,47.5,0.0,right-foot,0.0,0.0,,1,47.5,11.2,51.3,0,51.3,81.0,42.9,24.5,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,48.7,19.0,low-centre,,0,1,2180531,shot,True,Nottingham Forest,1,0.0,0,,0,,974505,,Enzo Fernández,M,E. Fernández,enzo-fernandez,44858,24.5,42.9,0,1,2377,block,0,0.0,0.0,1.0,,0.0,0.0,,free-kick,Chelsea,45,3023,,,90,0.497826
928,4.0,1.6,50.4,0.0,right-foot,0.0,0.0,,1,50.4,1.6,50.2,0,50.2,82.9,46.1,28.2,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,49.8,17.1,low-centre,,0,1,2180499,shot,True,Nottingham Forest,0,0.0,0,,1,,974505,,Enzo Fernández,M,E. Fernández,enzo-fernandez,44858,28.2,46.1,0,1,2497,save,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,45,2903,,,90,0.497826
929,4.0,8.9,58.3,0.0,right-foot,0.0,0.0,,1,58.3,8.9,52.2,0,52.2,81.0,60.1,11.5,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,47.8,19.0,low-right,,0,1,2180501,shot,True,Nottingham Forest,1,0.0,0,,0,Nicolas Jackson,1085381,,Nicolas Jackson,F,N. Jackson,nicolas-jackson,10022,11.5,60.1,0,1,2508,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,45,2892,,,90,0.118561
930,,7.9,63.0,0.0,right-foot,0.0,0.0,,1,63.0,7.9,45.2,0,45.2,90.3,65.1,8.4,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,54.8,9.7,low-left,,0,1,2180441,shot,True,Nottingham Forest,1,0.0,0,,0,,138534,,Raheem Sterling,F,R. Sterling,raheem-sterling,28534,8.4,65.1,0,1,46,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,45,2654,,,90,0.299969
